Institution Reference Number,Institution Name,Address Line 1,Address Line 2,Address Line 3,Town,County,Postcode,Telephone,Management,Type,Status,Date Closed,Email,
501-1132,Killylea Primary School ,150 KILLYLEA ROAD,,,ARMAGH,ARMAGH,BT60 4LN,028 3756 8621,Controlled,Primary,Open,,info@killyleaps.armagh.ni.sch.uk,
501-1137,Newtownhamilton Primary School ,8 SCHOOL ROAD,,,NEWRY,DOWN,BT35 0DQ,028 3087 8094,Controlled,Primary,Open,,info@newtownhamiltonps.newtownhamilton.ni.sch.uk,
501-1142,Clare Primary School ,58 CLOGHOGE ROAD,,,TANDRAGEE,ARMAGH,BT62 2HB,028 3884 0843,Controlled,Primary,Open,,info@clareps.tandragee.ni.sch.uk,
501-1152,Kingsmills Primary School ,63 DRUMNAHUNSHIN ROAD,WHITECROSS,,ARMAGH,ARMAGH,BT60 2TA,028 3083 0312,Controlled,Primary,Open,,info@kingsmills.whitecross.ni.sch.uk,
501-1153,Lisnadill Primary School ,7 DRUMCONWELL ROAD,,,ARMAGH,ARMAGH,BT60 2PS,028 3752 3471,Controlled,Primary,Open,,info@lisnadill.armagh.ni.sch.uk,
501-1157,Derryhale Primary School ,116 DERRYHALE ROAD,,,PORTADOWN,ARMAGH,BT62 3SR,028 3887 1123,Controlled,Primary,Open,,info@derryhale.portadown.ni.sch.uk,
501-1161,Mountnorris Primary School ,7 MAIN STREET,MOUNTNORRIS,,ARMAGH,ARMAGH,BT60 2TR,028 3750 7389,Controlled,Primary,Open,,info@mountnorrisps.mountnorris.ni.sch.uk,
501-1165,Richmount Primary School,105 MOY ROAD,,,PORTADOWN,ARMAGH,BT62 1QP,028 3835 7929,Controlled,Primary,Open,,info@richmount.portadown.ni.sch.uk,
501-1174,Birches Primary School ,14 CLONMAKATE ROAD,PORTADOWN,,CRAIGAVON,ARMAGH,BT62 1LR,028 388 51443,Controlled,Primary,Open,,info@birches.portadown.ni.sch.uk,
501-1175,Cortamlet Primary School ,19 CORTAMLET ROAD,ALTNAMACHIN,,NEWRY,DOWN,BT35 0EE,028 3087 8310,Controlled,Primary,Open,,info@cortamlet.altnamackin.ni.sch.uk,
501-1179,Bessbrook Primary School ,14 CHURCH ROAD,,,NEWRY,DOWN,BT35 7AQ,028 3083 8002,Controlled,Primary,Open,,info@bessbrookps.bessbrook.ni.sch.uk,
501-1189,Edenderry Primary School ,PRINCESS WAY,PORTADOWN,,CRAIGAVON,ARMAGH,BT63 5EP,028 3833 2816,Controlled,Primary,Open,,info@edenderry.portadown.ni.sch.uk,
501-1190,Tullygally Primary School ,21 MEADOWBROOK ROAD,TULLYGALLY,,LURGAN,ARMAGH,BT65 5AA,028 3834 1726 ,Controlled,Primary,Open,,info@tullygally.lurgan.ni.sch.uk,
501-1520,Dromore Road Primary School ,UPPER DROMORE ROAD,,,WARRENPOINT,DOWN,BT34 3JH,028 4175 2656,Controlled,Primary,Open,,info@dromoreroadps.warrenpoint.ni.sch.uk,
501-1575,Dromore Central Primary School ,2 BANBRIDGE ROAD,,,DROMORE,DOWN,BT25 1AD,028 9269 2134,Controlled,Primary,Open,,info@dromorecentral.dromore.ni.sch.uk,
501-1594,Abercorn Primary School ,NEWRY ROAD,,,BANBRIDGE,DOWN,BT32 3HR,028 406 62880,Controlled,Primary,Open,,info@abercorn.banbridge.ni.sch.uk,
501-1596,Gilford Primary School ,CASTLE HILL,GILFORD,,CRAIGAVON,ARMAGH,BT63 6HH,028 3883 1372,Controlled,Primary,Open,,info@craigavonps.gilford.ni.sch.uk,
501-1598,Waringstown Primary School ,1 BANBRIDGE ROAD,,,CRAIGAVON,ARMAGH,BT66 7QH,028 3888 1367,Controlled,Primary,Open,,info@waringstown.waringstown.ni.sch.uk,
501-1602,Bleary Primary School ,6 DEAN'S ROAD,LURGAN,,CRAIGAVON,ARMAGH,BT66 8TD,028 3834 2401,Controlled,Primary,Open,,info@bleary.craigavon.ni.sch.uk,
501-1611,Iveagh Primary School ,17 CASTLE HILL,RATHFRILAND,,NEWRY,DOWN,BT34 5NH,028 4063 0639,Controlled,Primary,Open,,info@iveagh.rathfriland.ni.sch.uk,
501-1617,Ballydown Primary School ,64 LISNAREE ROAD,,,BANBRIDGE,DOWN,BT32 4JN,028 4066 2738,Controlled,Primary,Open,,info@ballydown.banbridge.ni.sch.uk,
501-1649,Kilkeel Primary School ,130 HARBOUR ROAD,,,KILKEEL,DOWN,BT34 4AT,028 4176 2351,Controlled,Primary,Open,,info@kilkeelprimary.kilkeel.ni.sch.uk,
501-1651,Milltown Primary School ,167 LURGAN ROAD,,,BANBRIDGE,DOWN,BT32 4NR,028 4062 4207,Controlled,Primary,Open,,info@milltown.banbridge.ni.sch.uk,
501-1664,Scarva Primary School ,80 MAIN STREET,,,CRAIGAVON,ARMAGH,BT63 6NS,028 3883 1645,Controlled,Primary,Open,,info@scarvaps.scarva.ni.sch.uk,
501-1684,Annalong Primary School ,31 KILKEEL ROAD,,,NEWRY,DOWN,BT34 4TH,028 4376 8336,Controlled,Primary,Open,,info@annalongps.annalong.ni.sch.uk,
501-1687,Maralin Village Primary School ,2 STEPS ROAD,MAGHERALIN,,CRAIGAVON,ARMAGH,BT67 0QZ,028 9261 1678,Controlled,Primary,Open,,info@maralinvillage.magheralin.ni.sch.uk,
501-2280,Moneymore Primary School ,2A NORTHLAND DRIVE,MONEYMORE,,MAGHERAFELT,LONDONDERRY,BT45 7QT,028 8674 8362,Controlled,Primary,Open,,info@moneymore.moneymore.ni.sch.uk,
501-2538,Churchill Primary School ,4 CHURCH HILL ROAD,,,CALEDON,TYRONE,BT68 4UY,028 3756 8605,Controlled,Primary,Open,,info@churchill.caledon.ni.sch.uk,
501-2615,Ballytrea Primary School ,52 GORTNASKEA ROAD,STEWARTSTOWN,,DUNGANNON,TYRONE,BT71 5NY,028 8773 8619,Controlled,Primary,Open,,info@ballytrea.stewartstown.ni.sch.uk,
501-2621,Aughnacloy Primary School ,1 CARNTEEL ROAD,,,AUGHNACLOY,TYRONE,BT69 6DU,028 8555 7316,Controlled,Primary,Open,,info@aughnacloyps.aughnacloy.ni.sch.uk,
501-2632,Donaghmore Primary School ,35 MAIN STREET,DONAGHMORE,,DUNGANNON,TYRONE,BT70 3EZ,028 8776 1503,Controlled,Primary,Open,,info@donaghmoreps.donaghmore.ni.sch.uk,
501-2635,Augher Central Primary School ,17 KNOCKMANY ROAD,,,AUGHER,TYRONE,BT77 0BE,028 8554 8443,Controlled,Primary,Open,,info@aughercentral.augher.ni.sch.uk,
501-2636,Moy Regional Primary School ,12 DUNGANNON ROAD,MOY,,DUNGANNON,TYRONE,BT71 7SN,028 8778 4367,Controlled,Primary,Open,,info@moyregional.moy.ni.sch.uk,
501-2643,Stewartstown Primary School ,33 HILLHEAD,,,STEWARTSTOWN,TYRONE,BT71 5HY,028 8773 8479,Controlled,Primary,Open,,info@stewartstownps.stewartstown.ni.sch.uk,
501-2646,Howard Primary School ,2 MAIN ROAD,MOYGASHEL,,DUNGANNON,TYRONE,BT71 7QR,028 8772 2722,Controlled,Primary,Open,,info@howardps.dungannon.ni.sch.uk,
501-2649,Coagh Primary School ,31 URBAL ROAD,,,COOKSTOWN,TYRONE,BT80 0DW,028 8673 7676,Controlled,Primary,Open,,info@coaghps.coagh.ni.sch.uk,
501-2657,Walker Memorial Primary School ,19 ANNAGHMAKEOWN ROAD,,,DUNGANNON,TYRONE,BT70 3DQ,028 8776 1565,Controlled,Primary,Open,,info@walkermemorial.dungannon.ni.sch.uk,
501-2696,Carntall Primary School ,5 AGHINTAIN ROAD,,,CLOGHER,TYRONE,BT76 0UY,028 8554 8423,Controlled,Primary,Open,,info@carntall.clogher.ni.sch.uk,
501-2719,Newmills Primary School ,96 FARLOUGH ROAD,,,DUNGANNON,TYRONE,BT71 4DX,028 8774 0485,Controlled,Primary,Open,,info@newmills.dungannon.ni.sch.uk,
501-2720,Dungannon Primary School ,27 CIRCULAR ROAD,,,DUNGANNON,TYRONE,BT71 6BE,028 8772 2250,Controlled,Primary,Open,,info@dungannonps.dungannon.ni.sch.uk,
501-2726,Cookstown Primary School ,COOLNAFRANKY DEMESNE,MOLESWORTH STREET,,COOKSTOWN,TYRONE,BT80 8PF,028 8676 2622,Controlled,Primary,Open,,info@cps.cookstown.ni.sch.uk,
501-3019,Edenderry Primary School ,1A LURGAN ROAD,,,BANBRIDGE,DOWN,BT32 4AF,028 4062 2082,Controlled,Primary,Open,,info@edenderry.banbridge.ni.sch.uk,
501-3702,Woods Primary School ,38 OAKLEA ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6HX,028 7941 8415,Controlled,Primary,Open,,info@woods.magherafelt.ni.sch.uk,
501-6007,Millington Primary School ,CRAIGAVON AVENUE,PORTADOWN,,CRAIGAVON,ARMAGH,BT62 3HQ,028 3833 4896,Controlled,Primary,Open,,info@millington.portadown.ni.sch.uk,
501-6027,Drumhillery Primary School ,58 DRUMHILLERY ROAD,MIDDLETOWN,,ARMAGH,ARMAGH,BT60 3QB,028 3756 8725,Controlled,Primary,Open,,info@drumhillery.armagh.ni.sch.uk,
501-6065,Dickson Primary School ,POLLOCK DRIVE,,,LURGAN,ARMAGH,BT66 8LJ,028 3832 5302,Controlled,Primary,Open,,info@dickson.lurgan.ni.sch.uk,
501-6078,Poyntzpass Primary School ,1 TANDRAGEE ROAD,,,POYNTZPASS,DOWN,BT35 6SL,028 3831 8267,Controlled,Primary,Open,,info@poyntzpass.poyntzpass.ni.sch.uk,
501-6079,The Cope Primary School ,12 BALLYGASSEY ROAD,LOUGHGALL,,ARMAGH,ARMAGH,BT61 8HY,028 3889 1413,Controlled,Primary,Open,,info@thecope.loughgall.ni.sch.uk,
501-6080,Drumgor Primary School ,DRUMGOR ROAD,BROWNLOW,,CRAIGAVON,ARMAGH,BT65 5BP,028 3834 1488,Controlled,Primary,Open,,info@drumgor.craigavon.ni.sch.uk,
501-6088,Fivemiletown Primary School ,166 BALLAGH ROAD,,,FIVEMILETOWN,TYRONE,BT75 0QP,028 8952 1456,Controlled,Primary,Open,,info@fivemiletownps.fivemiletown.ni.sch.uk,
501-6098,Brackenagh West Primary School ,22 CHURCH ROAD,,,KILKEEL,DOWN,BT34 4QB,028 417 65055,Controlled,Primary,Open,,info@brackenaghwest.kilkeel.ni.sch.uk,
501-6117,Ballyoran Primary School ,BALLYORAN PARK,,,PORTADOWN,ARMAGH,BT62 1JY,028 3835 2009,Controlled,Primary,Open,,info@ballyoran.portadown.ni.sch.uk,
501-6138,Bocombra Primary School ,1 OLD LURGAN ROAD,,,PORTADOWN,ARMAGH,BT63 5SG,028 3833 6749,Controlled,Primary,Open,,info@bocombra.portadown.ni.sch.uk,
501-6141,Churchtown Primary School ,36 MUFF ROAD,,,COOKSTOWN,TYRONE,BT80 9XA,028 8676 5075,Controlled,Primary,Open,,info@churchtown.cookstown.ni.sch.uk,
501-6178,Donacloney Primary School ,BAIRD AVENUE,DONACLONEY,,CRAIGAVON,ARMAGH,BT66 7LP,028 3888 1400,Controlled,Primary,Open,,info@donacloney.donacloney.ni.sch.uk,
501-6179,Hamiltonsbawn Primary School , 113 ANNAREAGH ROAD,HAMILTONSBAWN,,ARMAGH,ARMAGH,BT61 9SA,028 3887 0628,Controlled,Primary,Open,,info@hamiltonsbawnps.hamiltonsbawn.ni.sch.uk,
501-6200,Queen Elizabeth II Primary School; Pomeroy,3 EDENDOIT ROAD,,,DUNGANNON,TYRONE,BT70 2RW,028 8775 8548,Controlled,Primary,Open,,info@queenelizabethii.pomeroy.ni.sch.uk,
501-6221,Orritor Primary School ,249 ORRITOR ROAD,,,COOKSTOWN,TYRONE,BT80 9NE,028 8675 1412,Controlled,Primary,Open,,info@orritor.cookstown.ni.sch.uk,
501-6224,Donaghey Primary School ,28 KILLYGARVIN ROAD,,,DUNGANNON,TYRONE,BT71 4DA,028 8774 8267,Controlled,Primary,Open,,info@donaghey.dungannon.ni.sch.uk,
501-6391,Bush Primary School ,31 MULLAGHTEIGE ROAD,,,DUNGANNON,TYRONE,BT71 6QU,028 8772 5102,Controlled,Primary,Open,,info@bush.dungannon.ni.sch.uk,
501-6436,Markethill Primary School ,14 MOWHAN ROAD,MARKETHILL,,ARMAGH,ARMAGH,BT60 1RQ,028 3755 1589,Controlled,Primary,Open,,info@markethillps.markethill.ni.sch.uk,
501-6451,Windsor Hill Primary School ,CHURCH AVENUE,,,NEWRY,DOWN,BT34 1DY,028 3026 4047,Controlled,Primary,Open,,info@windsorhill.newry.ni.sch.uk,
501-6543,Moyallon Primary School ,103 MOYALLON ROAD,PORTADOWN,,CRAIGAVON,ARMAGH,BT63 5JY,028 3883 1649,Controlled,Primary,Open,,info@moyallon.craigavon.ni.sch.uk,
501-6599,Fair Hill Primary School ,4 TULLYNISKEY ROAD,DROMARA,,DROMORE,DOWN,BT25 2PJ,028 9753 3219,Controlled,Primary,Open,,info@fairhill.kinallen.ni.sch.uk,
501-6612,Bronte Primary School ,39 BALLINASKEAGH ROAD,BALLINASKEAGH,,BANBRIDGE,DOWN,BT32 5BL,028 4065 1486,Controlled,Primary,Open,,info@bronte.banbridge.ni.sch.uk,
501-6616,Drumadonnell Primary School ,133 DROMARA ROAD,BALLYRONEY,,BANBRIDGE,DOWN,BT32 5EY,028 4065 0886,Controlled,Primary,Open,,info@drumadonnell.banbridge.ni.sch.uk,
501-6643,Richmond Primary School ,1 OLD OMAGH ROAD,BALLYGAWLEY,,DUNGANNON,TYRONE,BT70 2EZ,028 8556 7952,Controlled,Primary,Open,,info@richmond.ballygawley.ni.sch.uk,
501-6658,Orchard County Primary School,65 BLACKISLAND ROAD,PORTADOWN,,CRAIGAVON,ARMAGH,BT62 1NH,028 3885 2696,Controlled,Primary,Open,,info@orchardcounty.portadown.ni.sch.uk,
501-6680,Killyman Primary School ,15 TREWMOUNT ROAD,,,DUNGANNON,TYRONE,BT71 6RL,028 8772 3094,Controlled,Primary,Open,,info@killymanps.dungannon.ni.sch.uk,
503-0958,St John's Eglish Primary School; Annaghmore,57 EGLISH ROAD,PORTADOWN,,CRAIGAVON,ARMAGH,BT62 1NL,028 3885 1743,Roman Catholic Maintained,Primary,Open,,info@eglish.portadown.ni.sch.uk,
503-0972,St Oliver Plunkett's Primary School ,11 SCHOOL ROAD,FORKHILL,,NEWRY,DOWN,BT35 9SN,028 3088 8374,Roman Catholic Maintained,Primary,Open,,info@stoliverplunketts.forkhill.ni.sch.uk,
503-0975,St Malachy's Primary School ,74 BALLYMOYER ROAD,WHITECROSS,,ARMAGH,ARMAGH,BT60 2LA,028 3750 7428,Roman Catholic Maintained,Primary,Open,,info@stmalachys.ballymoyer.ni.sch.uk,
503-1070,St Michael's Primary School ,86 DUNDALK STREET,NEWTOWNHAMILTON,,NEWRY,DOWN,BT35 0PB,028 3087 8297,Roman Catholic Maintained,Primary,Open,,info@stmichaels.nth.ni.sch.uk,
503-1080,Clintyclay Primary School ,81 CLONMORE ROAD,,,DUNGANNON,TYRONE,BT71 6HX,028 8778 4498,Roman Catholic Maintained,Primary,Open,,info@clintyclay.dungannon.ni.sch.uk,
503-1086,Clonalig Primary School ,120 CONCESSION ROAD,,,NEWRY,DOWN,BT35 9JE,028 3086 1513,Roman Catholic Maintained,Primary,Open,,info@clonalig.culloville.ni.sch.uk,
503-1088,Dromintee Primary School ,8 BALLYNAMADDA ROAD,,,NEWRY,DOWN,BT35 8TD,028 3088 8383,Roman Catholic Maintained,Primary,Open,,info@dromintee.killeavy.ni.sch.uk,
503-1103,Tannaghmore Primary School ,LAKE STREET,LURGAN,,CRAIGAVON,ARMAGH,BT67 9DY,028 3832 2393,Roman Catholic Maintained,Primary,Open,,info@tannaghmore.lurgan.ni.sch.uk,
503-1107,St Teresa's Primary School ,60 TULLYHERRON ROAD,MOUNTNORRIS,,ARMAGH,ARMAGH,BT60 2UF,028 3750 7397,Roman Catholic Maintained,Primary,Open,,info@stteresas.tullyherron.ni.sch.uk,
503-1108,Clea Primary School ,85 CLAY ROAD,,,KEADY,ARMAGH,BT60 3QX,028 3753 1096,Roman Catholic Maintained,Primary,Open,,info@cleaps.keady.ni.sch.uk,
503-1110,Christian Brothers' Primary School ,GREENPARK; KEADY ROAD,,,ARMAGH,ARMAGH,BT60 4AB,028 3752 4354,Roman Catholic Maintained,Primary,Open,,info@armaghcbs.armagh.ni.sch.uk,
503-1126,Mount St Catherine's Primary School ,11 WINDMILL HILL,,,ARMAGH,ARMAGH,BT60 4BR,028 3752 2241,Roman Catholic Maintained,Primary,Open,,info@mtstcatherines.armagh.ni.sch.uk,
503-1130,St.Moninna's Primary School; Cloughoge,81 CHANCELLORS ROAD,,,NEWRY,DOWN,BT35 8NG,028 3026 2688,Roman Catholic Maintained,Primary,Open,,info@cloughoge.newry.ni.sch.uk,
503-1133,St Malachy's Primary School ,CHAPEL LANE,,,ARMAGH,ARMAGH,BT61 7EG,028 3752 3847,Roman Catholic Maintained,Primary,Open,,info@stmalachys.armagh.ni.sch.uk,
503-1135,St Oliver's Primary School (Carrickrovaddy),2 ROXBOROUGH ROAD,NEWTOWNHAMILTON,,NEWRY,DOWN,BT35 0QJ,028 3087 8225,Roman Catholic Maintained,Primary,Open,,info@stolivers.carrickrovaddy.ni.sch.uk,
503-1138,St Joseph's Primary School ,50 FARNALOY ROAD,,,ARMAGH,ARMAGH,BT60 3LR,028 3753 1890,Roman Catholic Maintained,Primary,Open,,info@stjosephs.madden.ni.sch.uk,
503-1148,St Patrick's Primary School ,54 CARRAN ROAD,CROSSMAGLEN,,NEWRY,DOWN,BT35 9JL,028 3086 1667,Roman Catholic Maintained,Primary,Open,,info@stpatricksps.crossmaglen.ni.sch.uk,
503-1154,Killean Primary School ,29 KILLEAN SCHOOL ROAD,,,NEWRY,DOWN,BT35 8RX,028 3084 8522,Roman Catholic Maintained,Primary,Open,,info@killean.newry.ni.sch.uk,
503-1158,St Patrick's Primary School ,20 BALLINLARE GARDENS,ROONEY'S MEADOW,,NEWRY,DOWN,BT35 6EX,028 3026 3466,Roman Catholic Maintained,Primary,Open,,info@stpatricks.newry.ni.sch.uk,
503-1160,St Teresa's Primary School ,36 TARRY LANE,,,LURGAN,ARMAGH,BT67 9LQ,028 3832 3425,Roman Catholic Maintained,Primary,Open,,info@stteresas.lurgan.ni.sch.uk,
503-1163,St Brigid's Primary School ,63 GLASSDRUMMAN ROAD,CROSSMAGLEN,,NEWRY,DOWN,BT35 9DY,028 3086 1514,Roman Catholic Maintained,Primary,Open,,info@stbrigids.glassdrummond.ni.sch.uk,
503-1164,St Mary's Primary School ,84 MAGHERY ROAD,,,DUNGANNON,TYRONE,BT71 6PA,028 3885 1778,Roman Catholic Maintained,Primary,Open,,info@stmarys.maghery.ni.sch.uk,
503-1166,St Michael's Primary School ,62 CLADYMORE ROAD,MOWHAN,,ARMAGH,ARMAGH,BT60 2EP,028 3750 7363,Roman Catholic Maintained,Primary,Open,,info@stmichaels.clady.ni.sch.uk,
503-1168,St Patrick's Primary School ,14 DERRYMACASH ROAD,AGHACOMMON; LURGAN,,CRAIGAVON,ARMAGH,BT66 6LG,028 3834 3230,Roman Catholic Maintained,Primary,Open,,info@stpatricks.aghacommon.ni.sch.uk,
503-1169,St Brigid's Primary School; Drumilly,17 CARROWBANE ROAD,,,ARDGLASS,DOWN,BT35 7QL,028 3083 0759,Roman Catholic Maintained,Primary,Open,,info@stbrigids.drumilly.ni.sch.uk,
503-1172,St Mary's Primary School ,123 GRANEMORE ROAD,TASSAGH,,ARMAGH,ARMAGH,BT60 2NJ,028 3753 8018,Roman Catholic Maintained,Primary,Open,,info@stmarys.granemore.ni.sch.uk,
503-1176,St Peter's Primary School ,66 DERRYMORE ROAD,CLOUGHREAGH; BESSBROOK,,NEWRY,DOWN,BT35 7DN,028 3083 0455,Roman Catholic Maintained,Primary,Open,,info@stpetersps.cloughreagh.ni.sch.uk,
503-1183,St Patrick's Primary School ,LOUGHGALL ROAD,,,ARMAGH,ARMAGH,BT61 7NN,028 3752 3773,Roman Catholic Maintained,Primary,Open,,info@stpatricksps.armagh.ni.sch.uk,
503-1184,St Anthony's Primary School ,TULLYGALLY ROAD,LEGAHORY,,CRAIGAVON,ARMAGH,BT65 5BL,028 3834 1569,Roman Catholic Maintained,Primary,Open,,info@stanthonys.craigavon.ni.sch.uk,
503-1188,St Joseph's Primary School ,1 SEAFIN ROAD,KILLEAVY,,NEWRY,DOWN,BT35 8LA,028 3084 8331,Roman Catholic Maintained,Primary,Open,,info@stjo.meigh.ni.sch.uk,
503-1318,Killowen Primary School ,88 KILLOWEN OLD ROAD,ROSTREVOR,,NEWRY,DOWN,BT34 3AE,028 4173 8426,Roman Catholic Maintained,Primary,Open,,info@killowen.rostrevor.ni.sch.uk,
503-1340,St Joseph's Convent Primary School ,19 EDWARD STREET,,,NEWRY,DOWN,BT35 6AN,028 3026 3854,Roman Catholic Maintained,Primary,Open,,info@stjosephsconventps.newry.ni.sch.uk,
503-1558,Ballyholland Primary School ,60 BETTYS HILL ROAD,,,NEWRY,DOWN,BT34 2ND,028 3026 3763,Roman Catholic Maintained,Primary,Open,,info@ballyholland.newry.ni.sch.uk,
503-1589,Grange Primary School ,20 LURGANCONARY ROAD,KILKEEL,,NEWRY,DOWN,BT34 4LL,028 4176 2033,Roman Catholic Maintained,Primary,Open,,info@grange.kilkeel.ni.sch.uk,
503-1609,Carrick Primary School ,61 BALLYDESLAND ROAD,,,WARRENPOINT,DOWN,BT34 3QA,028 4175 2448,Roman Catholic Maintained,Primary,Open,,info@carrick.warrenpoint.ni.sch.uk,
503-1653,St Matthew's Primary School Magheramayo,27 DOLLYS BRAE,BALLYWARD,,CASTLEWELLAN,DOWN,BT31 9AZ,028 4065 0311,Roman Catholic Maintained,Primary,Open,,info@magheramayo.castlewellan.ni.sch.uk,
503-1667,St Patrick's Primary School ,12 BALLYMACBREDAN ROAD,MAGHERALIN,,CRAIGAVON,ARMAGH,BT67 0QU,028 3834 1400,Roman Catholic Maintained,Primary,Open,,info@stpatricks.magheralin.ni.sch.uk,
503-1669,St John's Primary School ,42A CASTLE HILL,GILFORD,,CRAIGAVON,ARMAGH,BT63 6HH,028 3883 1555,Roman Catholic Maintained,Primary,Open,,info@stjohns.gilford.ni.sch.uk,
503-1694,Holy Cross Primary School ,6 ATTICAL BOG ROAD,KILKEEL,,NEWRY,DOWN,BT34 4HT,028 4176 3743,Roman Catholic Maintained,Primary,Open,,info@holycross.kilkeel.ni.sch.uk,
503-1695,St Mary's Primary School ,3 SCHOOL ROAD,JERRETTSPASS,,NEWRY,DOWN,BT34 1SX,028 3082 1503,Roman Catholic Maintained,Primary,Open,,info@stmarys.barr.ni.sch.uk,
503-1697,St Patrick's Primary School ,9 CHAPEL HILL,MAYOBRIDGE,,NEWRY,DOWN,BT34 2EX,028 3085 1294,Roman Catholic Maintained,Primary,Open,,info@stpatricks.mayobridge.ni.sch.uk,
503-2208,Ballylifford Primary School ,142 BALLINDERRY BRIDGE ROAD,,,COOKSTOWN,TYRONE,BT80 0AY,028 7941 8388,Roman Catholic Maintained,Primary,Open,,info@ballylifford.cookstown.ni.sch.uk,
503-2262,Lissan Primary School ,6 CLAGGAN ROAD,,,COOKSTOWN,TYRONE,BT80 9XE,028 8676 4581,Roman Catholic Maintained,Primary,Open,,info@lissan.cookstown.ni.sch.uk,
503-2306,St Malachy's Primary School  Glencull,107 OMAGH ROAD,SESKILGREEN,,DUNGANNON,TYRONE,BT70 2DB,028 8556 8344,Roman Catholic Maintained,Primary,Open,,info@stmalachys.glencull.ni.sch.uk,
503-2387,Derrylatinee Primary School ,50 DERRYLATINEE ROAD,,,DUNGANNON,TYRONE,BT70 1PS,028 8772 4403,Roman Catholic Maintained,Primary,Open,,info@derrylatinee.dungannon.ni.sch.uk,
503-2463,Blessed Patrick O'loughran Primary School ,136 OLD CAULFIELD ROAD,CASTLECAULFIELD,,DUNGANNON,TYRONE,BT70 3NQ,028 8776 7311,Roman Catholic Maintained,Primary,Open,,info@castlecaulfield.dungannon.ni.sch.uk,
503-2558,Laghey Primary School ,5 TAMNAMORE ROAD,,,DUNGANNON,TYRONE,BT71 6RJ,028 8772 5142,Roman Catholic Maintained,Primary,Open,,info@laghey.dungannon.ni.sch.uk,
503-2585,Edendork Primary School ,181 COALISLAND ROAD,,,DUNGANNON,TYRONE,BT71 4DP,028 8774 0534,Roman Catholic Maintained,Primary,Open,,info@edendork.dungannon.ni.sch.uk,
503-2591,Roan St Patrick's Primary School ,114 KILLYLISS ROAD,,,DUNGANNON,TYRONE,BT70 1LE,028 3754 8355,Roman Catholic Maintained,Primary,Open,,info@roan.eglish.ni.sch.uk,
503-2592,St Mary's Primary School ,16 LISNAGOWAN ROAD,,,DUNGANNON,TYRONE,BT70 3LH,028 8776 1515,Roman Catholic Maintained,Primary,Open,,info@stmarys.lisbuoy.ni.sch.uk,
503-2624,St Macartan's Primary School ,4 BALLAGH ROAD,,,CLOGHER,TYRONE,BT76 0HE,028 8554 8350,Roman Catholic Maintained,Primary,Open,,info@stmaccartans.clogher.ni.sch.uk,
503-2678,St Patrick's Primary School ,16 POMEROY ROAD,,,DUNGANNON,TYRONE,BT70 3HG,028 8776 1469,Roman Catholic Maintained,Primary,Open,,info@stpatricksps.donaghmore.ni.sch.uk,
503-2692,St Mary's Primary School ,22 WEST STREET,,,STEWARTSTOWN,TYRONE,BT71 5HT,028 8773 8388,Roman Catholic Maintained,Primary,Open,,info@stmarys.stewartstown.ni.sch.uk,
503-2697,St Patrick's Primary School ,32 AUGHADARRAGH ROAD,,,AUGHER,TYRONE,BT77 0ET,028 8554 8472,Roman Catholic Maintained,Primary,Open,,info@stpatricks.aughadarragh.ni.sch.uk,
503-2698,St Brigid's Primary School ,166 MOUNTJOY ROAD,,,COALISLAND,TYRONE,BT71 5DY,028 8773 8261,Roman Catholic Maintained,Primary,Open,,info@stbrigids.mountjoy.ni.sch.uk,
503-2699,St Mary's Primary School ,40 DUNNAMORE ROAD,,,COOKSTOWN,TYRONE,BT80 9NT,028 8675 1357,Roman Catholic Maintained,Primary,Open,,info@stmarys.dunamore.ni.sch.uk,
503-2703,St Peter's Primary School ,24 ARDBOE ROAD,MOORTOWN,,COOKSTOWN,TYRONE,BT80 0HT, 028 8673 7565.,Roman Catholic Maintained,Primary,Open,,info@stpeters.moortown.ni.sch.uk,
503-2713,Derrychrin Primary School ,30 DRUMENNY ROAD,COAGH,,COOKSTOWN,TYRONE,BT80 0BX,028 8673 7456,Roman Catholic Maintained,Primary,Open,,info@derrychrin.cookstown.ni.sch.uk,
503-2714,Holy Family Primary School; Aughamullan,88 COOLE ROAD,,,DUNGANNON,TYRONE,BT71 5DR,028 8774 0461,Roman Catholic Maintained,Primary,Open,,info@aughamullan.dungannon.ni.sch.uk,
503-2715,St John's Primary School ,15 BENBURB ROAD,MOY,,DUNGANNON,TYRONE,BT71 7SQ,028 8778 4489,Roman Catholic Maintained,Primary,Open,,info@stjohns.moy.ni.sch.uk,
503-2717,St Patrick's Primary School ,75 MULLANAHOE ROAD,,,DUNGANNON,TYRONE,BT71 5AU,028 8673 7261,Roman Catholic Maintained,Primary,Open,,info@stpatricks.ardboe.ni.sch.uk,
503-2729,St John's Primary School ,56 REENADERRY ROAD,COALISLAND,,DUNGANNON,TYRONE,BT71 4QN,028 8774 0689,Roman Catholic Maintained,Primary,Open,,info@stjohns.kingsisland.ni.sch.uk,
503-2734,St Mary's Primary School ,10 WHITES ROAD,,,DUNGANNON,TYRONE,BT70 3AN,028 8776 7356,Roman Catholic Maintained,Primary,Open,,info@stmarys.cabra.ni.sch.uk,
